4/18/2023	7	9	15	19	25	4
4/14/2023	23	27	41	48	51	22
4/11/2023	31	35	53	54	55	24
4/7/2023	12	32	49	51	66	21
4/4/2023	1	37	45	62	64	4
3/31/2023	16	26	27	42	61	23
3/28/2023	2	3	18	32	68	24
3/24/2023	14	17	33	42	66	15
3/21/2023	1	21	25	27	40	11
3/17/2023	26	28	29	39	49	25
3/14/2023	1	7	23	38	55	2
3/10/2023	9	20	59	60	63	5
3/7/2023	15	22	25	28	69	21
3/3/2023	8	25	36	39	67	11
2/28/2023	14	16	40	52	59	13
2/24/2023	2	22	49	65	67	7
2/21/2023	2	15	30	36	63	24
2/17/2023	2	33	38	57	70	13
2/14/2023	23	24	35	40	43	1
2/10/2023	20	29	30	52	58	19
2/7/2023	9	15	46	55	57	4
2/3/2023	1	4	50	54	59	17
1/31/2023	7	9	18	29	39	13
1/27/2023	4	43	46	47	61	22
1/24/2023	33	41	47	50	62	20
1/20/2023	20	29	31	64	66	17
1/17/2023	2	12	18	24	39	18
1/13/2023	30	43	45	46	61	14
1/10/2023	7	13	14	15	18	9
1/6/2023	3	20	46	59	63	13
1/3/2023	25	29	33	41	44	18
12/30/2022	1	3	6	44	51	7
12/27/2022	9	13	36	59	61	11
12/23/2022	15	21	32	38	62	8
12/20/2022	3	4	33	36	52	17
12/16/2022	8	35	40	53	56	11
12/13/2022	14	22	48	58	68	6
12/9/2022	8	19	53	61	69	19
12/6/2022	15	16	19	28	47	13
12/2/2022	1	21	36	46	52	16
11/29/2022	20	23	37	46	52	6
11/25/2022	29	31	46	54	67	18
11/22/2022	13	23	24	25	43	2
11/18/2022	2	14	16	38	66	9
11/15/2022	6	19	28	46	61	18
11/11/2022	1	5	17	37	70	22
11/8/2022	5	13	29	38	59	23
11/4/2022	2	20	47	55	59	19
11/1/2022	5	9	15	16	17	25
10/28/2022	4	18	31	53	69	7
10/25/2022	21	30	35	45	66	21
10/21/2022	34	36	43	45	68	22
10/18/2022	1	15	20	44	67	23
10/14/2022	9	22	26	41	44	19
10/11/2022	3	7	11	13	38	1
10/7/2022	6	11	29	36	55	21
10/4/2022	15	18	25	33	38	25
9/30/2022	16	26	37	40	51	6
9/27/2022	8	14	24	43	51	9
9/23/2022	5	50	53	58	64	22
9/20/2022	9	21	28	30	52	10
9/16/2022	15	30	35	38	66	12
9/13/2022	14	25	38	59	64	21
9/9/2022	16	21	54	55	69	22
9/6/2022	6	17	46	59	68	2
9/2/2022	39	40	52	60	67	20
8/30/2022	2	38	55	57	65	17
8/26/2022	6	27	30	38	64	23
8/23/2022	3	5	47	48	67	7
8/19/2022	12	18	24	46	65	3
8/16/2022	33	35	41	45	51	1
8/12/2022	23	24	50	54	64	3
8/9/2022	1	8	10	25	32	13
8/5/2022	2	5	29	64	69	18
8/2/2022	10	14	25	37	63	14
7/29/2022	13	36	45	57	67	14
7/26/2022	7	29	60	63	66	15
7/22/2022	14	40	60	64	66	16
7/19/2022	2	31	32	37	70	25
7/15/2022	8	20	26	53	64	15
7/12/2022	4	7	10	45	64	12
7/8/2022	20	36	61	62	69	20
7/5/2022	27	31	50	51	61	21
7/1/2022	1	27	29	38	62	12
6/28/2022	7	12	21	43	55	11
6/24/2022	1	7	11	25	56	14
6/21/2022	8	13	18	32	42	20
6/17/2022	20	36	53	56	69	16
6/14/2022	30	37	38	42	58	22
6/10/2022	3	12	14	18	32	4
6/7/2022	4	34	40	41	53	3
6/3/2022	11	16	22	48	59	11
5/31/2022	6	15	41	63	64	24
5/27/2022	3	14	40	53	54	8
5/24/2022	3	5	6	63	68	25
5/20/2022	33	40	59	60	69	22
5/17/2022	7	21	24	41	65	24
5/13/2022	11	41	43	44	65	13
5/10/2022	15	19	20	61	70	9
5/6/2022	16	21	33	52	70	10
5/3/2022	15	19	27	35	57	17
4/29/2022	9	11	34	49	66	15
4/26/2022	5	7	19	46	69	2
4/22/2022	7	28	29	58	59	10
4/19/2022	2	9	33	47	53	24
4/15/2022	4	17	20	46	64	23
4/12/2022	2	8	14	20	31	17
4/8/2022	8	11	29	32	40	2
4/5/2022	22	43	60	63	64	18
4/1/2022	26	42	47	48	63	21
3/29/2022	7	22	36	45	47	12
3/25/2022	3	13	42	51	58	17
3/22/2022	8	15	21	27	61	8
3/18/2022	2	6	25	40	45	5
3/15/2022	9	14	28	59	60	24
3/11/2022	24	28	39	44	66	25
3/8/2022	7	18	38	58	64	24
3/4/2022	11	19	28	46	47	5
3/1/2022	18	22	38	39	50	18
2/25/2022	15	31	40	56	66	4
2/22/2022	6	17	22	57	62	3
2/18/2022	6	11	50	63	68	17
2/15/2022	2	4	15	21	63	19
2/11/2022	11	16	23	24	30	24
2/8/2022	1	17	20	52	54	2
2/4/2022	7	16	34	44	61	24
2/1/2022	11	24	38	62	66	1
1/28/2022	3	16	25	44	55	13
1/25/2022	3	12	38	53	58	13
1/21/2022	38	45	46	55	67	18
1/18/2022	4	19	39	42	52	9
1/14/2022	5	8	13	22	48	25
1/11/2022	2	3	19	52	58	16
1/7/2022	7	29	43	56	57	6
1/4/2022	4	6	16	21	22	1
12/31/2021	2	5	30	46	61	8
12/28/2021	3	5	8	31	38	4
12/24/2021	16	17	25	36	37	16
12/21/2021	25	31	58	64	67	24
12/17/2021	21	32	38	48	62	10
12/14/2021	33	35	44	55	69	20
12/10/2021	23	25	40	42	60	8
12/7/2021	1	7	40	43	68	1
12/3/2021	22	45	48	58	61	13
11/30/2021	7	8	26	30	39	17
11/26/2021	7	27	37	42	59	2
11/23/2021	7	24	54	57	58	6
11/19/2021	5	23	52	53	59	18
11/16/2021	6	22	44	53	65	3
11/12/2021	30	32	42	46	48	15
11/9/2021	9	14	16	26	49	14
11/5/2021	10	15	20	66	68	18
11/2/2021	5	10	26	58	65	9
10/29/2021	15	26	28	35	45	4
10/26/2021	6	14	19	56	62	9
10/22/2021	9	14	26	29	66	22
10/19/2021	3	12	13	19	52	1
10/15/2021	3	20	31	34	65	18
10/12/2021	21	26	56	61	65	4
10/8/2021	21	24	36	40	70	22
10/5/2021	7	11	18	30	36	4
10/1/2021	21	25	36	62	63	6
9/28/2021	18	30	43	68	69	22
9/24/2021	17	21	27	43	56	15
9/21/2021	36	41	45	51	56	13
9/17/2021	17	32	40	59	61	18
9/14/2021	4	13	19	63	64	16
9/10/2021	20	32	35	47	64	18
9/7/2021	15	17	25	32	53	12
9/3/2021	7	10	12	61	65	3
8/31/2021	8	14	31	58	68	15
8/27/2021	1	10	44	47	56	23
8/24/2021	17	18	26	52	67	19
8/20/2021	41	43	51	57	70	1
8/17/2021	3	6	16	38	56	24
8/13/2021	17	21	35	40	53	11
8/10/2021	29	45	50	59	62	12
8/6/2021	9	18	40	46	69	9
8/3/2021	1	9	17	27	34	24
7/30/2021	19	26	31	52	68	10
7/27/2021	2	35	36	54	64	11
7/23/2021	13	17	19	40	69	17
7/20/2021	10	26	30	52	57	10
7/16/2021	24	25	47	52	57	24
7/13/2021	3	10	17	26	55	24
7/9/2021	6	37	39	41	46	17
7/6/2021	18	47	63	68	69	14
7/2/2021	8	31	32	34	45	19
6/29/2021	7	38	50	52	69	21
6/25/2021	17	20	42	45	65	12
6/22/2021	1	26	48	51	59	25
6/18/2021	14	36	44	46	53	18
6/15/2021	18	22	27	38	52	11
6/11/2021	4	43	56	63	68	13
6/8/2021	9	22	39	41	54	19
6/4/2021	4	30	34	41	64	8
6/1/2021	7	11	33	58	63	23
5/28/2021	10	14	20	47	70	15
5/25/2021	14	21	31	34	54	11
5/21/2021	6	9	17	18	48	8
5/18/2021	3	5	56	61	66	4
5/14/2021	3	18	41	44	68	3
5/11/2021	7	8	20	36	39	22
5/7/2021	5	10	19	21	50	10
5/4/2021	4	27	32	57	63	22
4/30/2021	8	19	26	48	49	5
4/27/2021	15	22	30	41	42	25
4/23/2021	4	28	29	30	60	25
4/20/2021	6	23	43	49	52	5
4/16/2021	17	27	28	50	55	25
4/13/2021	10	15	19	45	68	9
4/9/2021	22	26	27	58	66	12
4/6/2021	1	19	20	32	42	17
4/2/2021	10	42	48	53	62	19
3/30/2021	11	37	47	53	56	15
3/26/2021	4	25	37	46	67	15
3/23/2021	12	23	35	38	55	11
3/19/2021	9	14	40	58	69	8
3/16/2021	10	41	46	52	69	8
3/12/2021	2	24	25	31	65	18
3/9/2021	4	33	46	58	65	13
3/5/2021	10	11	17	27	54	20
3/2/2021	4	8	13	34	64	18
2/26/2021	11	15	37	62	64	5
2/23/2021	5	7	9	20	57	15
2/19/2021	27	32	47	50	53	4
2/16/2021	1	36	44	54	66	10
2/12/2021	5	14	24	25	27	14
2/9/2021	7	18	21	31	40	9
2/5/2021	14	17	28	29	44	2
2/2/2021	13	37	38	40	67	10
1/29/2021	4	44	58	59	70	3
1/26/2021	29	49	56	66	67	24
1/22/2021	4	26	42	50	60	24
1/19/2021	10	19	26	28	50	16
1/15/2021	3	11	12	38	43	15
1/12/2021	12	14	26	28	33	9
1/8/2021	3	6	16	18	58	11
1/5/2021	20	43	51	55	57	4
1/1/2021	8	24	53	68	69	7
12/29/2020	1	31	35	48	62	19
12/25/2020	17	23	36	69	70	19
12/22/2020	29	53	56	59	67	21
12/18/2020	7	15	25	51	60	5
12/15/2020	1	10	18	20	46	15
12/11/2020	19	31	37	55	67	25
12/8/2020	15	19	33	39	68	25
12/4/2020	3	19	24	44	50	8
12/1/2020	7	33	53	61	65	14
11/27/2020	4	10	27	35	58	10
11/24/2020	9	15	34	61	64	6
11/20/2020	26	33	45	61	68	17
11/17/2020	8	13	35	46	68	16
11/13/2020	6	7	14	28	59	7
11/10/2020	23	45	53	58	62	13
11/6/2020	18	24	27	34	60	2
11/3/2020	7	31	44	45	55	19
10/30/2020	14	19	34	39	59	11
10/27/2020	6	13	34	46	62	1
10/23/2020	18	34	44	60	69	22
10/20/2020	46	54	57	58	66	10
10/16/2020	27	32	50	52	57	12
10/13/2020	11	44	45	46	70	25
10/9/2020	5	11	25	27	64	13
10/6/2020	15	16	18	39	59	17
10/2/2020	9	38	47	49	68	25
9/29/2020	14	39	43	44	67	19
9/25/2020	20	36	37	48	67	16
9/22/2020	36	43	44	55	68	12
9/18/2020	26	29	41	52	64	11
9/15/2020	25	28	38	59	62	22
9/11/2020	3	15	42	48	56	13
9/8/2020	7	10	15	31	57	21
9/4/2020	19	22	24	28	53	25
9/1/2020	15	25	26	38	47	22
8/28/2020	3	9	50	53	64	1
8/25/2020	8	10	15	17	57	12
8/21/2020	11	15	31	42	63	14
8/18/2020	4	18	26	27	58	23
8/14/2020	3	24	29	42	47	13
8/11/2020	8	22	29	43	56	9
8/7/2020	4	44	53	64	70	3
8/4/2020	2	22	30	42	62	20
7/31/2020	12	35	46	48	69	23
7/28/2020	17	20	27	31	34	19
7/24/2020	8	33	39	54	58	17
7/21/2020	14	25	26	41	43	15
7/17/2020	12	13	21	46	57	21
7/14/2020	6	26	55	56	64	22
7/10/2020	10	15	20	49	53	22
7/7/2020	16	20	25	30	43	18
7/3/2020	20	40	44	45	50	24
6/30/2020	9	16	29	37	53	11
6/26/2020	19	33	37	56	57	6
6/23/2020	6	20	37	40	48	15
6/19/2020	11	34	36	52	66	7
6/16/2020	21	23	33	35	42	6
6/12/2020	9	14	57	67	70	2
6/9/2020	1	5	9	10	23	22
6/5/2020	32	35	37	47	55	22
6/2/2020	9	20	23	26	29	8
5/29/2020	10	13	32	41	51	3
5/26/2020	34	52	58	59	62	4
5/22/2020	8	10	20	44	46	18
5/19/2020	8	19	25	36	66	9
5/15/2020	11	17	32	33	46	25
5/12/2020	7	16	27	44	52	5
5/8/2020	5	20	22	61	70	4
5/5/2020	7	13	17	21	45	14
5/1/2020	28	30	31	35	66	14
4/28/2020	13	19	53	54	63	17
4/24/2020	1	27	32	60	67	18
4/21/2020	13	15	24	67	70	17
4/17/2020	13	35	39	46	55	14
4/14/2020	29	47	65	69	70	7
4/10/2020	2	11	21	57	60	13
4/7/2020	25	33	43	51	68	20
4/3/2020	24	38	44	57	58	17
3/31/2020	8	17	51	57	70	2
3/27/2020	3	25	28	50	60	1
3/24/2020	2	8	16	18	31	14
3/20/2020	34	35	41	45	54	5
3/17/2020	20	27	28	58	59	25
3/13/2020	7	22	37	43	44	22
3/10/2020	6	17	48	54	69	12
3/6/2020	15	48	56	58	70	4
3/3/2020	8	12	33	56	64	2
2/28/2020	2	3	14	41	64	17
2/25/2020	2	9	43	49	63	15
2/21/2020	4	7	13	16	60	6
2/18/2020	6	12	39	61	70	4
2/14/2020	10	32	48	54	55	18
2/11/2020	4	6	32	52	64	6
2/7/2020	9	14	27	36	52	4
2/4/2020	32	48	50	51	64	10
1/31/2020	28	31	33	57	62	19
1/28/2020	17	36	47	51	62	21
1/24/2020	3	4	18	23	38	24
1/21/2020	16	18	29	31	37	8
1/17/2020	3	25	30	54	70	9
1/14/2020	9	11	13	31	47	11
1/10/2020	17	27	49	51	66	2
1/7/2020	25	40	41	52	56	21
1/3/2020	37	41	42	53	63	16
12/31/2019	30	44	49	53	56	11
12/27/2019	17	34	40	63	64	24
12/24/2019	27	37	48	63	66	11
12/20/2019	3	20	23	35	60	16
12/17/2019	22	30	53	55	56	16
12/13/2019	17	21	29	39	56	22
12/10/2019	18	31	46	54	61	25
12/6/2019	20	31	40	46	61	20
12/3/2019	23	43	60	63	69	19
11/29/2019	6	8	31	50	65	9
11/26/2019	8	27	29	38	43	13
11/22/2019	7	12	17	49	53	24
11/19/2019	22	43	44	47	66	22
11/15/2019	12	19	34	35	68	20
11/12/2019	19	30	44	56	65	24
11/8/2019	3	4	10	39	58	14
11/5/2019	2	9	24	49	54	19
11/1/2019	9	20	36	41	54	22
10/29/2019	4	9	17	27	39	22
10/25/2019	16	24	25	52	60	6
10/22/2019	5	11	14	23	25	10
10/18/2019	18	58	60	65	67	20
10/15/2019	4	12	14	35	70	2
10/11/2019	14	22	30	37	60	8
10/8/2019	5	8	10	17	48	23
10/4/2019	11	38	44	48	70	17
10/1/2019	10	17	39	42	59	3
9/27/2019	12	20	31	43	45	20
9/24/2019	6	14	24	42	46	9
9/20/2019	23	24	42	48	53	22
9/17/2019	12	15	30	50	65	1
9/13/2019	6	16	37	59	62	5
9/10/2019	34	47	48	50	55	24
9/6/2019	4	11	13	19	31	10
9/3/2019	13	20	27	61	62	5
8/30/2019	3	9	11	34	39	10
8/27/2019	8	12	23	39	43	6
8/23/2019	11	15	37	54	68	21
8/20/2019	8	14	25	51	63	4
8/16/2019	4	14	24	26	46	14
8/13/2019	7	27	31	34	51	5
8/9/2019	15	53	56	59	63	1
8/6/2019	11	17	31	43	55	16
8/2/2019	11	20	26	48	70	19
7/30/2019	10	24	28	33	38	6
7/26/2019	4	6	11	43	48	11
7/23/2019	1	4	23	40	45	11
7/19/2019	16	18	28	33	67	14
7/16/2019	8	16	31	48	52	23
7/12/2019	8	25	38	56	59	7
7/9/2019	12	26	40	48	64	1
7/5/2019	6	38	47	57	63	12
7/2/2019	3	25	37	40	55	13
6/28/2019	2	35	49	53	63	1
6/25/2019	24	33	45	47	61	17
6/21/2019	13	30	36	48	62	18
6/18/2019	12	14	22	24	48	21
6/14/2019	19	40	47	57	65	6
6/11/2019	20	34	39	43	57	13
6/7/2019	17	19	27	40	68	2
6/4/2019	25	37	46	48	68	25
5/31/2019	7	8	26	65	67	4
5/28/2019	9	21	34	42	50	21
5/24/2019	14	41	44	56	62	10
5/21/2019	10	50	55	56	58	15
5/17/2019	5	17	28	32	63	11
5/14/2019	11	59	66	67	68	18
5/10/2019	3	16	21	61	62	19
5/7/2019	3	6	34	54	63	19
5/3/2019	8	16	22	66	68	11
4/30/2019	24	37	41	61	70	20
4/26/2019	9	17	23	30	46	10
4/23/2019	7	24	30	48	67	9
4/19/2019	18	25	43	44	57	25
4/16/2019	11	29	34	48	54	10
4/12/2019	1	24	25	40	70	4
4/9/2019	11	22	34	44	58	9
4/5/2019	8	22	24	38	64	21
4/2/2019	33	47	58	59	64	25
3/29/2019	5	14	15	62	66	3
3/26/2019	4	14	22	43	58	9
3/22/2019	7	36	58	60	62	10
3/19/2019	10	42	53	67	68	15
3/15/2019	3	29	56	62	64	4
3/12/2019	10	12	16	49	57	18
3/8/2019	4	9	42	62	68	7
3/5/2019	15	20	32	37	52	6
3/1/2019	29	33	39	60	66	21
